<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240704;000000;0.1048;0.10552;0.102;0.10204;1767870000;0.00352;0.002844414;;;;;
20240705;000000;0.102;0.1044;0.09934;0.1016;4169330000;0.00506;0.003176112;;;;;
20240708;000000;0.1017;0.1037;0.09934;0.1001;2441850000;0.00436;0.003643974;;;;;
20240709;000000;0.10018;0.10172;0.0965;0.09728;3797840000;0.00522;0.004038988;;;;;
20240710;000000;0.09732;0.0979;0.092;0.0924;4199660000;0.0059;0.004460122;;;;;
20240711;000000;0.09252;0.10032;0.09244;0.09786;4648010000;0.00788;0.004943442;;;;;
20240712;000000;0.09774;0.0983;0.0944;0.09516;2970910000;0.0039;0.005947556;;;;;
20240715;000000;0.09568;0.09694;0.09284;0.09398;3230050000;0.0041;0.005382706;;;;;
20240716;000000;0.09438;0.09606;0.09284;0.095;3968980000;0.00322;0.005210454;;;;;
20240717;000000;0.09528;0.09792;0.09462;0.09592;2597750000;0.0033;0.004727814;;;;;
20240718;000000;0.09614;0.0989;0.0947;0.0985;2564040000;0.0042;0.004302386;;;;;
20240719;000000;0.0985;0.0993;0.09682;0.097;3008280000;0.00248;0.003769504;;;;;
20240722;000000;0.0979;0.0982;0.0961;0.09778;1769900000;0.0021;0.003382216;;;;;
20240723;000000;0.09778;0.09968;0.09712;0.0991;1412880000;0.00256;0.002936914;;;;;
20240724;000000;0.0992;0.10098;0.09844;0.0997;1983810000;0.00254;0.002837476;;;;;
20240725;000000;0.0995;0.10192;0.09902;0.1005;2071960000;0.0029;0.002739326;;;;;
20240726;000000;0.1005;0.10146;0.0974;0.09834;2959060000;0.00406;0.002564622;;;;;
20240729;000000;0.0982;0.09838;0.09534;0.096;2437710000;0.00304;0.002972026;;;;;
20240730;000000;0.09582;0.098;0.09522;0.0971;1861740000;0.00278;0.003068068;;;;;
20240731;000000;0.0974;0.1003;0.0971;0.1001;2370950000;0.0032;0.003041306;;;;;
20240801;000000;0.1004;0.10108;0.09888;0.099;2512330000;0.0022;0.003169832;;;;;
20240802;000000;0.0991;0.101;0.09842;0.0991;4658980000;0.00258;0.002964952;;;;;
20240805;000000;0.097;0.09794;0.09418;0.0947;3418280000;0.00376;0.00272121;;;;;
20240806;000000;0.09504;0.09696;0.09452;0.09548;1583040000;0.00244;0.002977868;;;;;
20240807;000000;0.09582;0.098;0.09486;0.09728;2180310000;0.00314;0.002833808;;;;;
20240808;000000;0.09728;0.09842;0.0961;0.0961;1053690000;0.00232;0.002853994;;;;;
20240809;000000;0.0961;0.0973;0.0958;0.0959;858490000;0.0015;0.002788396;;;;;
20240812;000000;0.0958;0.09842;0.0949;0.09774;2544850000;0.00352;0.002500078;;;;;
20240813;000000;0.09778;0.101;0.0976;0.10066;2070010000;0.0034;0.002637152;;;;;
20240814;000000;0.10064;0.1038;0.10016;0.10184;5535050000;0.00364;0.002870096;;;;;
20240815;000000;0.102;0.10354;0.09976;0.1;4277730000;0.00378;0.003001632;;;;;
20240816;000000;0.10006;0.10262;0.09996;0.10074;2114340000;0.00266;0.003253174;;;;;
20240819;000000;0.10082;0.1016;0.09842;0.09872;2995470000;0.00318;0.003335122;;;;;
20240820;000000;0.0987;0.10036;0.0974;0.0987;2335780000;0.00296;0.00328893;;;;;
20240821;000000;0.09866;0.1;0.09788;0.09964;1340400000;0.00212;0.003199988;;;;;
20240822;000000;0.0997;0.0999;0.09592;0.0962;1916630000;0.00398;0.002854828;;;;;
20240823;000000;0.09614;0.09618;0.09108;0.0938;3257540000;0.0051;0.003054894;;;;;
20240826;000000;0.09618;0.09648;0.09378;0.09512;1878170000;0.0027;0.00366491;;;;;
